cve_mun,nom_mun,Region,Distrito
326,San Pedro Sochiápam,Cañada,Cuicatlán
330,San Pedro Teutila,Cañada,Cuicatlán
355,Santa Ana Cuauhtémoc,Cañada,Cuicatlán
425,Santa María Pápalo,Cañada,Cuicatlán
436,Santa María Texcatitlán,Cañada,Cuicatlán
438,Santa María Tlalixtac,Cañada,Cuicatlán
478,Santiago Nacaltepec,Cañada,Cuicatlán
527,Santos Reyes Pápalo,Cañada,Cuicatlán
558,Valerio Trujano,Cañada,Cuicatlán
29,Eloxochitlán de Flores Magón,Cañada,Teotitlán
40,Huautepec,Cañada,Teotitlán
41,Huautla de Jiménez,Cañada,Teotitlán
58,Mazatlán Villa de Flores,Cañada,Teotitlán
109,San Antonio Nanahuatípam,Cañada,Teotitlán
116,San Bartolomé Ayautla,Cañada,Teotitlán
142,San Francisco Huehuetlán,Cañada,Teotitlán
163,San Jerónimo Tecóatl,Cañada,Teotitlán
171,San José Tenango,Cañada,Teotitlán
187,San Juan Coatzóspam,Cañada,Teotitlán
206,San Juan de los Cués,Cañada,Teotitlán
228,San Lorenzo Cuaunecuiltitla,Cañada,Teotitlán
234,San Lucas Zoquiápam,Cañada,Teotitlán
244,San Martín Toxpalan,Cañada,Teotitlán
249,San Mateo Yoloxochitlán,Cañada,Teotitlán
322,San Pedro Ocopetatillo,Cañada,Teotitlán
354,Santa Ana Ateixtlahuaca,Cañada,Teotitlán
374,Santa Cruz Acatepec,Cañada,Teotitlán
396,Santa María la Asunción,Cañada,Teotitlán
406,Santa María Chilchotla,Cañada,Teotitlán
416,Santa María Ixcatlán,Cañada,Teotitlán
431,Santa María Tecomavaca,Cañada,Teotitlán
434,Santa María Teopoxco,Cañada,Teotitlán
490,Santiago Texcalcingo,Cañada,Teotitlán
545,Teotitlán de Flores Magón,Cañada,Teotitlán
56,Mártires de Tacubaya,Costa,Jamiltepec
70,Pinotepa de Don Luis,Costa,Jamiltepec
82,San Agustín Chayuco,Costa,Jamiltepec
90,San Andrés Huaxpaltepec,Costa,Jamiltepec
111,San Antonio Tepetlapa,Costa,Jamiltepec
168,San José Estancia Grande,Costa,Jamiltepec
180,San Juan Bautista Lo de Soto,Costa,Jamiltepec
185,San Juan Cacahuatepec,Costa,Jamiltepec
188,San Juan Colorado,Costa,Jamiltepec
225,San Lorenzo,Costa,Jamiltepec
285,San Miguel Tlacamama,Costa,Jamiltepec
302,San Pedro Atoyac,Costa,Jamiltepec
312,San Pedro Jicayán,Costa,Jamiltepec
345,San Sebastián Ixcapa,Costa,Jamiltepec
367,Santa Catarina Mechoacán,Costa,Jamiltepec
402,Santa María Cortijo,Costa,Jamiltepec
414,Santa María Huazolotitlán,Costa,Jamiltepec
466,Santiago Ixtayutla,Costa,Jamiltepec
467,Santiago Jamiltepec,Costa,Jamiltepec
474,Santiago Llano Grande,Costa,Jamiltepec
482,Santiago Pinotepa Nacional,Costa,Jamiltepec
485,Santiago Tapextla,Costa,Jamiltepec
489,Santiago Tetepec,Costa,Jamiltepec
507,Santo Domingo Armenta,Costa,Jamiltepec
153,San Gabriel Mixtepec,Costa,Juquila
202,San Juan Lachao,Costa,Juquila
213,San Juan Quiahije,Costa,Juquila
272,San Miguel Panixtlahuaca,Costa,Juquila
314,San Pedro Juchatengo,Costa,Juquila
318,San Pedro Mixtepec Distrito 22,Costa,Juquila
334,Villa de Tututepec,Costa,Juquila
364,Santa Catarina Juquila,Costa,Juquila
433,Santa María Temaxcaltepec,Costa,Juquila
497,Santiago Yaitepec,Costa,Juquila
526,Santos Reyes Nopala,Costa,Juquila
543,Tataltepec de Valdés,Costa,Juquila
